year,level,a_y,r_y,n_y,p_y,l_y,ca_y,cl_y,ca_avg_y,cl_avg_y,a_yplus10,l_yplus10
2014,Felony,15105,14617,41581,NA,NA,NA,NA,NA,NA,NA,NA
2014,Gross Misdemeanor,12341,13132,30299,NA,NA,NA,NA,NA,NA,NA,NA
2014,Juvenile,7905,8361,6876,NA,NA,NA,NA,NA,NA,NA,NA
2014,Misdemeanor,20587,20889,25781,NA,NA,NA,NA,NA,NA,NA,NA
2015,Felony,15815,14925,43215,0.6410620235203579,2.7859966499162483,0.04700430321085733,NA,NA,NA,NA,NA
2015,Gross Misdemeanor,12289,12334,30181,0.5929238588732302,2.456542889573537,-0.00421359695324528,NA,NA,NA,NA,NA
2015,Juvenile,7751,8010,6839,-0.1649214659685864,0.8584269662921348,-0.01948134092346616,NA,NA,NA,NA,NA
2015,Misdemeanor,19663,20366,24862,0.21003840037236723,1.2658843169989198,-0.044882692961577694,NA,NA,NA,NA,NA
2016,Felony,16579,15643,44296,0.6380192062941108,2.7625775107076644,0.04830856781536516,-0.008406018438424133,NA,NA,NA,NA
2016,Gross Misdemeanor,12750,13009,29803,0.5689672310393956,2.3200092243831194,0.03751322320774676,-0.055579597559609506,NA,NA,NA,NA
2016,Juvenile,7422,7602,6754,-0.11156601842374617,0.8996316758747698,-0.04244613598245388,0.04800025069181303,NA,NA,NA,NA
2016,Misdemeanor,17934,19927,22753,0.1984956962432628,1.2476539368695738,-0.08793164827340691,-0.014401300248797952,NA,NA,NA,NA
2017,Felony,16988,16430,45549,0.6290861477334296,2.6960438222763234,0.024669762953133483,-0.024083917346557154,NA,NA,NA,NA
2017,Gross Misdemeanor,14285,12694,31344,0.5740697245243768,2.347802111233654,0.1203921568627451,0.0119796449765947,NA,NA,NA,NA
2017,Juvenile,7462,7672,6590,-0.13591945513769618,0.8803441084462983,0.0053893829156561575,-0.021439404531545584,NA,NA,NA,NA
2017,Misdemeanor,17337,17909,21937,0.21289500285676613,1.2704785303478696,-0.033288725326196054,0.018294009904352038,NA,NA,NA,NA
2018,Felony,17409,16953,46084,0.6278074161891589,2.686781100690143,0.024782199199434893,-0.003435671746002832,0.1194282322853237,NA,15924.986032491015,NA
2018,Gross Misdemeanor,15027,14059,32246,0.5514612046962736,2.22946155487588,0.051942597129856494,-0.05040482576940518,0.26673962854518096,NA,14598.269404962823,NA
2018,Juvenile,6762,7426,5905,-0.12685887708649468,0.8874225693509292,-0.09380863039399624,0.008040561454001855,-0.04828368158270982,NA,6126.061982178037,NA
2018,Misdemeanor,16949,17047,21746,0.2229110635000228,1.286853991904734,-0.02237988117898137,0.012889207621934823,-0.1833611384094601,NA,12600.037658174953,NA
2019,Felony,16536,17273,45384,0.6251844457946358,2.667978926648526,-0.05014647596070998,-0.006998029737810595,0.09096302711871158,-0.038569794814086,15959.230568136581,2.5289642026952586
2019,Gross Misdemeanor,15228,14883,32495,0.5384543819388451,2.1666330712893904,0.013375923337991615,-0.028181012338644007,0.25526414884897536,-0.09539420772483147,15452.391334055805,2.4696900618206743
2019,Juvenile,6384,6964,5289,-0.17933954276037256,0.847932222860425,-0.055900621118012424,-0.044500047502046156,-0.17949180709987755,0.003226461235531852,5016.411268207156,0.6214746190003189
2019,Misdemeanor,16119,17285,20511,0.2051411753885772,1.2580850448365635,-0.04897044073396661,-0.02235603048142872,-0.10931610697075776,0.04187846517528907,13273.671196980576,0.9744448450381666
2020,Felony,16502.666666666668,17255,43431.333333333336,0.6197999294905694,2.630194146624167,-0.002015803902596282,-0.014162323265357947,-0.0544828752587901,-0.02455808612570379,13670.759348070782,2.1756091924226744
2020,Gross Misdemeanor,14798.666666666666,14274.333333333334,31014.666666666668,0.5607221623839564,2.276463582654181,-0.028193678311881663,0.05069179124983498,0.12562577446475703,-0.11034914151468357,14352.613044677017,2.1375196057286936
2020,Juvenile,5890.333333333333,6054.666666666667,4933,-0.14476586626331386,0.8735410702488439,-0.07732873851294908,0.03020152636967804,-0.21678702069848055,-0.0788443846234702,4488.705471945479,0.5827809121399504
2020,Misdemeanor,15663.333333333334,15756.333333333334,19813.666666666668,0.23181057318837045,1.3017622543315914,-0.02826891659945816,0.034717215401524795,-0.12815024964372768,-0.01977994415558784,12441.358212566174,0.9474552344901654
2021,Felony,16469.333333333332,17237,41478.666666666664,0.6031206348719051,2.5196573262942126,-0.002019875575664686,-0.04202610688333692,-0.057810906000110344,-0.03581495987742295,13430.030645095429,2.1425316406056223
2021,Gross Misdemeanor,14369.333333333334,13665.666666666666,29534.333333333332,0.5593805081466833,2.2695319169695343,-0.02901162266870881,-0.0030449271130289605,-0.019604698216331987,0.0433896433927516,12536.174667436078,1.8839400382213198
2021,Juvenile,5396.666666666667,5145.333333333334,4577,-0.043043448881681316,0.9587328323399843,-0.08380963159979618,0.09752462132876251,-0.24013658898125156,0.0034613928787381666,4076.2329924521464,0.5645102347288241
2021,Misdemeanor,15207.666666666666,14227.666666666668,19116.333333333332,0.28192661630860855,1.3926153269451538,-0.029091296020429955,0.06979236977508782,-0.11931079589297397,0.04054272790869198,12124.699898428315,0.968773613801933
2022,Felony,16436,17219,39526,0.5848709376707705,2.408889405114505,-0.0020239637305698747,-0.04396150223436124,-0.0216394642837439,-0.09715134057039655,13890.739591800937,2.165914161124468
2022,Gross Misdemeanor,13940,13057,28054,0.5579043598975204,2.261953996579102,-0.029878444836225336,-0.003338979431737149,-0.08413175233410301,0.048095094380510905,11491.900450361542,1.7741114035730414
2022,Juvenile,4903,4236,4221,0.07450294953026,1.0805004721435316,-0.0914762198888203,0.1270089389828743,-0.2667032150844512,0.20334879008120121,3618.6799579801536,0.575214553166026
2022,Misdemeanor,14752,12699,18419,0.3356989659802263,1.5053416279497072,-0.0299629572803191,0.08094575639335395,-0.10354421148857718,0.16460454459988877,11971.996302086527,1.0314159278284731
2023,Felony,15792,18854,37985,0.5229975206193391,2.0964251617693854,-0.039182282793867124,-0.12971298835127165,-0.006842789813702111,-0.1371879449777972,14012.880717322842,2.1161441027965777
2023,Gross Misdemeanor,14468,14318,27672,0.48962714764382975,1.9593518647855845,0.03787661406025825,-0.13377908315162998,-0.099521253131553,0.005685598080916231,11007.966761003821,1.7426160096659236
2023,Juvenile,5010,5004,4176,-0.18550106609808104,0.843525179856115,0.021823373444829697,-0.21931993404620864,-0.2952847966118936,0.36280131440916596,3185.2623825139985,0.606025248111103
2023,Misdemeanor,15601,14411,18896,0.21760138986915684,1.2781208798834225,0.05755151843817787,-0.15094297789117941,-0.09979831376382563,0.24570909379394726,11646.359315680505,1.1035417106176264
